index,original word,new word
1575,pipi,
1576,ngambek,
1577,nunjukin,
1578,jga,
1579,nan,
1580,her,
1581,pintar,
1582,yaampun,
1583,ri,
1584,vs,
1585,keinget,
1586,lakuin,
1587,alah,
1588,mantap,
1589,puja,
1590,alloh,
1591,matahari,
1592,re,
1593,gunung,
1594,banjir,
1595,ngumpul,
1596,aib,
1597,tunda,
1598,nabi,
1599,agung,
1600,truk,
1601,jalin,
1602,duga,
1603,acc,
1604,rlt,
1605,heart,
1606,makhluk,
1607,damping,
1608,jln,
1609,wilayah,
1610,beranta,
1611,ngalamin,
1612,dilema,
1613,tni,
1614,golong,
1615,utuh,
1616,klaim,
1617,sedap,
1618,toko,
1619,paruh,
1620,iri,
1621,koalisi,
1622,laper,
1623,telp,
1624,seringkali,
1625,publik,
1626,sejahtera,
1627,poko,
1628,pudar,
1629,bain,
1630,capres,
1631,nda,
1632,stres,
1633,dl,
1634,blok,
1635,akutu,
1636,pro,
1637,event,
1638,oposisi,
1639,kesana,
1640,oknum,
1641,beres,
1642,panitia,
1643,mention,
1644,adem,
1645,samsek,
1646,dewan,
1647,anugerah,
1648,dtg,
1649,pantat,
1650,nyoba,
1651,gajelas,
1652,sempit,
1653,aktivis,
1654,jaya,
1655,ketimbang,
1656,selera,
1657,ngomel,
1658,wish,
1659,purbalingga,
1660,pasrah,
1661,kode,
1662,dibully,
1663,empati,
1664,serba,
1665,transaksi,
1666,taat,
1667,gadis,
1668,gelas,
1669,aceh,
1670,posting,
1671,top,
1672,liga,
1673,sebar,
1674,saldo,
1675,ala,
1676,libat,
1677,bwt,
1678,nyeri,
1679,what,
1680,special,
1681,uu,
1682,kering,
1683,yogyakarta,
1684,ahli,
1685,nek,
1686,acak,
1687,serasa,
1688,lebar,
1689,abu,
1690,sekal,
1691,sujud,
1692,alumni,
1693,temenku,
1694,terbang,
1695,lenyap,
1696,ngejar,
1697,pesawat,
1698,hangat,
1699,bis,
1700,yha,
1701,lha,
1702,berisik,
1703,ajah,
1704,hijrah,
1705,pelit,
1706,ngurusin,
1707,bantal,
1708,cabut,
1709,kacung,
1710,klw,
1711,she,
1712,mimpin,
1713,keburu,
1714,army,
1715,timbang,
1716,hepi,
1717,judul,
1718,ngetweet,
1719,got,
1720,song,
1721,mood,
1722,jomblo,
1723,andal,
1724,insan,
1725,kunci,
1726,mi,
1727,pa,
1728,out,
1729,admin,
1730,feel,
1731,elo,
1732,ledak,
1733,mb,
1734,sya,
1735,palembang,
1736,say,
1737,pny,
